KAMStructure,RH_NVH,BH_KAM_Group,BH_KAM_L1,Region,Final Branch,Branch,Role,Vertical,Vertical_New,BVH
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,TECHNOLOGY,TECHNOLOGY,BVH - TECHNOLOGY - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,TELECOM,TELECOM,BVH - TELECOM - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,TIMES INTERACT,CLASSIFIEDS,BVH - CLASSIFIEDS - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,TRAVEL & TOURISM,TRAVEL & TOURISM,BVH - TRAVEL & TOURISM - BANGALORE
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,AIRLINES,AIRLINES,BVH - AIRLINES - MUMBAI1
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,B3+PSU,B3+PSU,BVH - B3+PSU - MUMBAI1
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,BFSI - IPO,BFSI - IPO,BVGH 2 - BFSI - MUMBAI1
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,BFSI - Non IPO,BFSI - Non IPO,BVGH 1 - BFSI - MUMBAI1
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,BUSINESS SOLUTIONS,B2B,BVH - B2B - MUMBAI1
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,CLOTHING / TEXTILES,CLOTHING / TEXTILES,BVH - CLOTHING / TEXTILES - MUMBAI1
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,E BUSINESS,E BUSINESS,BVH - E BUSINESS - MUMBAI1
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,FOOD & BEVERAGES,FOOD & BEVERAGES,BVH - FOOD & BEVERAGES - MUMBAI1
